SKF Bearing Data for Cylindrical roller bearings, single row (Metric)
Principal dimensions	Basic load ratings	Fatigue load limit	Speed ratings	Designation
d[mm]	D[mm]	B[mm]	C[kN]	C0[kN]	Pu[kN]	Ref speed[r/min]	Lim speed[r/min]	Designation bearing
15 	35 	11 	12.5 	10.2 	1.22 	22000 	26000 	NJ 202 ECP
15 	35 	11 	12.5 	10.2 	1.22 	22000 	26000 	NU 202 ECP
15 	35 	11 	12.5 	10.2 	1.22 	22000 	34000 	NU 202 ECPHA
17 	40 	12 	20 	14.3 	1.73 	20000 	22000 	N 203 ECP
17 	40 	12 	20 	14.3 	1.73 	20000 	22000 	N 203 ECPH
17 	40 	12 	20 	14.3 	1.73 	20000 	22000 	NJ 203 ECP
17 	40 	12 	20 	14.3 	1.73 	20000 	22000 	NU 203 ECP
17 	40 	12 	20 	14.3 	1.73 	20000 	22000 	NUP 203 ECP
17 	40 	12 	20 	14.3 	1.73 	20000 	30000 	NJ 203 ECPHA
17 	40 	12 	20 	14.3 	1.73 	20000 	30000 	NU 203 ECPHA
17 	40 	16 	27.5 	21.6 	2.65 	20000 	22000 	NJ 2203 ECP
17 	40 	16 	27.5 	21.6 	2.65 	20000 	22000 	NU 2203 ECP
17 	40 	16 	27.5 	21.6 	2.65 	20000 	22000 	NUP 2203 ECP
17 	47 	14 	28.5 	20.4 	2.55 	17000 	20000 	N 303 ECP
17 	47 	14 	28.5 	20.4 	2.55 	17000 	20000 	NJ 303 ECP
17 	47 	14 	28.5 	20.4 	2.55 	17000 	20000 	NU 303 ECP
20 	47 	14 	28.5 	22 	2.75 	17000 	19000 	N 204 ECP
20 	47 	14 	28.5 	22 	2.75 	17000 	19000 	NJ 204 ECP
20 	47 	14 	28.5 	22 	2.75 	17000 	19000 	NU 204 ECP
20 	47 	14 	28.5 	22 	2.75 	17000 	19000 	NUP 204 ECP
20 	47 	14 	28.5 	22 	2.75 	17000 	24000 	NJ 204 ECPHA
20 	47 	14 	28.5 	22 	2.75 	17000 	24000 	NU 204 ECPHA
20 	47 	14 	28.5 	22 	2.75 	17000 	24000 	NUP 204 ECPHA
20 	47 	14 	28.5 	22 	2.75 	17000 	30000 	NJ 204 ECML
20 	47 	14 	28.5 	22 	2.75 	17000 	30000 	NU 204 ECML
20 	47 	14 	28.5 	22 	2.75 	17000 	30000 	NUP 204 ECML
20 	47 	18 	34.5 	27.5 	3.45 	17000 	19000 	NJ 2204 ECP
20 	47 	18 	34.5 	27.5 	3.45 	17000 	19000 	NU 2204 ECP
20 	52 	15 	35.5 	26 	3.25 	15000 	18000 	N 304 ECP
20 	52 	15 	35.5 	26 	3.25 	15000 	18000 	NJ 304 ECP
20 	52 	15 	35.5 	26 	3.25 	15000 	18000 	NU 304 ECP
